الاسم,حالة,نوع,مؤلف,تقييم,سن,"اجمالى ",الصفح
علوم الحاسوب من الالف الى الياء,Archive,برمجة,اكاديمية حسوب,,20,,
الاسلام السياسي,Done,دين,د.مصطفي محمود,⭐⭐⭐⭐⭐,19,128,128
امواج اكما  (قواعد جارتين 3),Done,رواية,عمرو عبد الحميد,⭐⭐⭐⭐⭐,19,,
دقات الشامو (قواعد جارتين 2),Done,رواية,عمرو عبد الحميد,⭐⭐⭐⭐⭐,19,,
قواعد جارتين,Done,رواية,عمرو عبد الحميد,⭐⭐⭐⭐⭐,19,,
"اماريتا ( ارض زيكولا 2) ",Done,رواية,عمرو عبد الحميد,⭐⭐⭐⭐⭐,19,,
ارض زيكولا,Done,رواية,عمرو عبد الحميد,⭐⭐⭐⭐⭐,19,,
مزرعة الحيوان,Done,رواية,جورج اورويل,⭐⭐⭐⭐,19,,
حوار مع صديقي الملحد,Done,دين,د.مصطفي محمود,⭐⭐⭐⭐⭐,19,160,160
العادات الذرية,Done,تطوير ذات,جيمس كلير,,,,
ذكر شرقي منقرض,Done,فلسفة,د.طه محمد,⭐⭐⭐⭐⭐,19,,
الأب الغني و الأب الفقير,Done,اقتصاد,روبرت كيوساكي,⭐⭐⭐⭐⭐,18,,
"Myst Might Mayhem ",Done,رواية,,⭐⭐⭐⭐⭐,21,,
"Absolute Sword Sense ",Done,رواية,,⭐⭐⭐⭐⭐,21,,
"Solo Leveling ",Done,رواية,,,,,
