الاسم,"اجمالى ",الصفح,تقييم,حالة,سن,مؤلف,نوع
الأب الغني و الأب الفقير,,,⭐⭐⭐⭐⭐,Done,18,روبرت كيوساكي,اقتصاد
ذكر شرقي منقرض,,,⭐⭐⭐⭐⭐,Done,19,د.طه محمد,فلسفة
العادات الذرية,,,,Done,,جيمس كلير,تطوير ذات
حوار مع صديقي الملحد,160,160,⭐⭐⭐⭐⭐,Done,19,د.مصطفي محمود,دين
مزرعة الحيوان,,,⭐⭐⭐⭐,Done,19,جورج اورويل,رواية
ارض زيكولا,,,⭐⭐⭐⭐⭐,Done,19,عمرو عبد الحميد,رواية
"اماريتا ( ارض زيكولا 2) ",,,⭐⭐⭐⭐⭐,Done,19,عمرو عبد الحميد,رواية
قواعد جارتين,,,⭐⭐⭐⭐⭐,Done,19,عمرو عبد الحميد,رواية
دقات الشامو (قواعد جارتين 2),,,⭐⭐⭐⭐⭐,Done,19,عمرو عبد الحميد,رواية
امواج اكما  (قواعد جارتين 3),,,⭐⭐⭐⭐⭐,Done,19,عمرو عبد الحميد,رواية
الاسلام السياسي,128,128,⭐⭐⭐⭐⭐,Done,19,د.مصطفي محمود,دين
علوم الحاسوب من الالف الى الياء,,,,Archive,20,اكاديمية حسوب,برمجة
"Myst Might Mayhem ",,,⭐⭐⭐⭐⭐,Done,21,,رواية
"Absolute Sword Sense ",,,⭐⭐⭐⭐⭐,Done,21,,رواية
"Solo Leveling ",,,,Done,,,رواية
